title,categoryName,city,totalScore,reviewsCount
Starbucks Coffee S. Parman,Kedai Kopi,Kota Samarinda,4.6,473.0
Kopiria A. Yani,Kedai Kopi,Kota Samarinda,4.3,414.0
Kopi Kenangan - Ruko M Yamin Samarinda,Kedai Kopi,Kota Samarinda,4.3,410.0
Wedangan Queen ( Ronde & Angsle ),Restoran Indonesia,Kota Samarinda,4.3,158.0
Lotus Garden Cafe & Steak,Restoran,Kota Samarinda,4.4,883.0
FORTHIS HOUSE,Kedai Kopi,Kota Samarinda,4.4,190.0
D'puncak Cafe & Resto,Tempat acara,Kota Samarinda,4.3,1590.0
Teras Roemah Samarinda,Kafe,Kota Samarinda,4.5,1699.0
Seraung Coffice,Kafe,Kota Samarinda,4.6,418.0
WAHRUNGKU,Restoran makan siang,Kota Samarinda,4.6,410.0
Tepian Karang Mumus Muso Salim,Taman,Kota Samarinda,4.4,275.0
Wonderland Samarinda,Tujuan Wisata,Kota Samarinda,4.2,628.0
KOPIKUMANA,Kedai Kopi,Kota Samarinda,4.7,251.0
Pot O Koffie,Kedai Kopi,Kota Samarinda,4.6,226.0
TOMORO COFFEE - PM Noor Samarinda,Kedai Kopi,Kota Samarinda,4.6,232.0
Kopiria Kartini,Kedai Kopi,Kota Samarinda,4.4,761.0
Sanjaya Billiard,Tempat Biliar,Kota Samarinda,4.2,114.0
The Gade Coffee & Gold Samarinda,Kedai Kopi,Kota Samarinda,4.6,254.0
Bebek Pak Ndut Mulawarman,Restoran,Kota Samarinda,4.5,376.0
Duta Rasa Food Court,Restoran,Kota Samarinda,4.4,298.0
"Air Mancur - Patung Pesut, Tepian Mahakam, Samarinda",Taman,Kota Samarinda,4.3,2929.0
Solaria - Samarinda Square,Restoran,Kota Samarinda,3.7,366.0
Soto Banjar Nyaman Banar,Restoran soto,Kota Samarinda,4.4,1436.0
Stadion Segiri Samarinda,Stadion,Kota Samarinda,4.4,5330.0
Starbucks Drive Thru Siradj Salman,Kedai Kopi,Kota Samarinda,4.7,314.0
Kopi Janji Jiwa & Jiwa Toast Jilid 45,Kedai Kopi,Kota Samarinda,4.6,558.0
Mastumin Bhayangkara,Kedai Sarapan & Makan Siang,Kota Samarinda,3.4,205.0
Long April,Restoran,Kota Samarinda,4.7,493.0
"GOFFEÉ Doughnuts & Coffee, Samarinda",Kedai Kopi,Kota Samarinda,4.5,252.0
Angkringan Mbak Har,Restoran Jawa,Kota Samarinda,4.4,1278.0
Alun-Alun Tigaraksa,Taman,Kabupaten Tangerang,4.4,3886.0
Taman Aspirasi Pemda Tigaraksa,Taman,Kabupaten Tangerang,4.4,580.0
Taman Potret,Taman,Kota Tangerang,4.5,7980.0
Taman Elektrik,Taman,Kota Tangerang,4.7,1639.0
Taman CD PKN STAN,Taman,Kota Tangerang Selatan,4.5,1111.0
Taman Balaikota Melayu Tangerang,Taman,Kota Tangerang,4.5,3697.0
Taman Pramuka,Taman,Kota Tangerang,4.5,558.0
Taman Dayung,Taman,Kota Tangerang,4.5,1063.0
Taman Ekspresi,Taman,Kota Tangerang,4.5,1327.0
Taman Sari Lippo Karawaci,Taman,Kabupaten Tangerang,4.3,831.0
Imperial Klub Golf,Klub Golf,Kabupaten Tangerang,4.5,2206.0
Pondok Makan Sate Asmawi,Restoran Sate,Kota Cilegon,4.3,2920.0
Rumah Makan Ibu Haji Ciganea,Restoran Sunda,Kota Serang,4.4,1760.0
Bakso Wisnu,Restoran Bakso,Kota Serang,4.4,739.0
Rabeg Khas Serang H. Naswi (Magersari),Restoran Sate,Kota Serang,4.4,1053.0
"Mie Ayam Bakso ""Maju"" Mas Bakar",Restoran Bakso,Kota Serang,4.5,1202.0
Dapoer Meneer,Restoran Hamburger,Kota Serang,4.4,1698.0
SUSHI WA Serang,Restoran,Kota Serang,4.9,1323.0
Museum Situs Kepurbakalaan Banten Lama,Museum,Kota Serang,4.4,1233.0
Bendung Pamarayan,Bendungan,Kabupaten Serang,4.3,2187.0
Duren Story Warjok,Restoran,Kota Serang,4.7,8311.0
Gunung Pinang,Tujuan Wisata,Kabupaten Serang,4.1,1323.0
Wisata Air Kencana Tirta Eleven,Taman Rekreasi Air,Kabupaten Tangerang,4.2,1561.0
Alun-Alun Kota Cilegon,Taman Kota,Kota Cilegon,4.4,7154.0
Pesona Enasa Merak Hotel,Hotel,Kota Cilegon,4.1,1487.0
